0.0,1036.89,983.42,19.97,
1.0,1069.9,1031.45,79.86,
2.0,1054.52,1048.9,80.08,
3.0,986.39,964.59,13.82,
4.0,1021.93,965.21,1.68,
5.0,1046.91,1008.05,11.72,
6.0,1093.09,1014.67,67.11,
7.0,1012.48,996.87,96.95,
8.0,1045.63,978.02,40.04,
9.0,1063.95,1012.95,47.31,
10.0,968.48,976.37,23.62,
11.0,1035.58,1048.09,69.76,
12.0,987.48,1020.71,99.81,
13.0,1028.53,957.78,35.72,
14.0,1093.52,1058.33,49.89,
15.0,961.87,981.34,74.28,
16.0,1042.84,989.18,92.83,
17.0,966.71,1016.56,29.89,
18.0,1027.67,1009.21,50.87,
19.0,1077.26,968.26,37.17,
20.0,1016.3,1040.76,51.28,
21.0,964.81,1000.36,8.08,
22.0,951.78,1020.68,84.26,
23.0,1087.17,1062.33,80.57,
24.0,994.91,1018.12,59.33,
25.0,1011.22,957.68,35.75,
26.0,1000.58,1059.51,80.21,
27.0,1005.56,1043.3,52.29,
28.0,1086.91,985.23,100.68,
29.0,993.57,1001.28,59.5,
30.0,1055.64,1045.11,34.42,
31.0,936.15,1018.65,57.66,
32.0,1078.43,1021.63,88.9,
33.0,1014.29,955.42,58.46,
34.0,1090.99,1038.42,40.36,
35.0,1082.84,1009.85,26.4,
36.0,1014.07,1018.3,91.2,
37.0,949.71,994.99,71.75,
38.0,1037.74,1004.65,74.86,
39.0,1078.87,970.36,7.99,
40.0,1012.53,995.91,34.87,
41.0,938.45,1012.44,72.78,
42.0,1054.08,1006.88,84.39,
43.0,1053.7,1055.49,58.84,
44.0,1053.41,977.21,97.6,
45.0,954.16,987.17,73.27,
46.0,1079.14,996.12,36.53,
47.0,988.27,1041.83,63.18,
48.0,1049.3,1019.45,30.52,
49.0,1073.79,1051.01,10.87,
50.0,1081.18,1011.77,2.75,
51.0,1091.71,1016.3,18.51,
52.0,1068.11,988.72,43.76,
53.0,1050.32,1006.29,4.87,
54.0,1019.27,1046.65,24.73,
55.0,1091.44,1056.77,13.68,
56.0,930.52,1030.79,100.09,
57.0,954.6,987.34,54.52,
58.0,1021.1,1056.08,86.83,
59.0,1048.26,1036.15,35.22,
60.0,1060.78,1025.08,12.39,
61.0,1015.86,989.47,3.63,
62.0,998.97,1050.43,72.2,
63.0,999.73,1022.61,53.71,
64.0,962.83,1032.74,25.16,
65.0,981.0,998.15,4.0,
66.0,1021.28,1013.76,18.89,
67.0,988.29,1018.1,68.08,
68.0,935.27,992.8,79.09,
69.0,1020.88,1003.48,78.08,
70.0,930.44,981.93,16.3,
71.0,1073.1,969.6,20.92,
72.0,938.72,999.35,10.88,
73.0,963.76,1051.23,8.97,
74.0,1069.59,993.42,89.76,
75.0,1059.03,998.89,42.44,
76.0,1046.56,977.62,28.34,
77.0,1023.03,997.38,72.47,
78.0,944.02,1015.85,13.73,
79.0,1069.76,957.55,34.88,
80.0,972.28,1010.73,22.3,
81.0,973.36,1019.3,72.06,
82.0,943.18,1017.9,70.39,
83.0,937.65,1053.55,72.31,
84.0,988.44,963.39,33.84,
85.0,981.83,976.19,43.54,
86.0,1018.47,989.57,31.71,
87.0,961.61,980.88,63.85,
88.0,1056.13,1058.6,85.51,
89.0,952.41,1059.41,60.67,
90.0,950.05,1023.61,88.42,
91.0,971.0,1029.66,10.06,
92.0,1082.24,1035.9,10.56,
93.0,1027.8,958.5,97.57,
94.0,1031.72,1002.89,79.0,
95.0,1069.47,974.68,74.11,
96.0,1001.54,992.11,73.74,
97.0,1069.74,968.79,87.55,
98.0,1068.81,989.97,85.99,
99.0,1020.21,993.59,90.12,
100.0,945.19,1000.8,70.91,
101.0,929.42,997.0,60.76,
102.0,1015.86,981.3,65.71,
103.0,1037.61,1040.7,41.04,
104.0,971.16,990.2,23.0,
105.0,1017.96,1029.87,45.65,
106.0,947.34,1037.35,59.86,
107.0,1032.42,967.92,58.6,
108.0,1012.72,1036.96,42.53,
109.0,1064.68,1013.3,81.2,
110.0,944.05,1053.12,5.41,
111.0,1026.63,1041.61,26.35,
112.0,1029.26,976.77,47.59,
113.0,980.03,1001.79,7.79,
114.0,938.8,1026.49,10.19,
115.0,929.35,1008.83,5.48,
116.0,978.28,1038.3,30.09,
117.0,1003.35,1003.46,85.27,
118.0,1078.48,955.14,98.25,
119.0,1075.09,958.99,50.77,
120.0,997.95,974.25,50.04,
121.0,1055.58,1047.7,26.84,
122.0,1074.57,996.19,48.93,
123.0,930.14,1035.13,41.24,
124.0,941.98,986.61,28.49,
125.0,977.5,977.27,36.53,
126.0,961.81,1038.66,58.75,
127.0,930.09,996.68,16.36,
128.0,953.44,978.36,45.65,
129.0,959.44,977.69,96.69,
130.0,1057.81,1028.75,44.17,
131.0,976.88,958.22,84.82,
132.0,974.72,1063.0,19.88,
133.0,935.49,1021.0,70.31,
134.0,986.35,1037.21,76.95,
135.0,1028.04,993.67,57.93,
136.0,1077.54,962.23,46.4,
137.0,1016.27,986.05,59.86,
138.0,1082.06,1047.43,1.57,
139.0,961.51,1024.2,54.48,
140.0,987.9,1010.02,12.01,
141.0,1046.06,1013.29,1.88,
142.0,1054.31,999.04,26.65,
143.0,1032.89,958.6,27.7,
